# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu_atom/cycles/Pu'
# Event count (approx.): 4284000
#
# Overhead  Command  Shared Object         Symbol                            
# ........  .......  ....................  ..................................
#
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_catch_exception
     0.00%  ml       ld-linux-x86-64.so.2       [.] memset
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] __cpu_indicator_init
     0.00%  ml       libc.so.6                  [.] __internal_atexit
     0.00%  ml       libc.so.6                  [.] _IO_file_sync@@GLIBC_2.2.5
     0.00%  ml       libc.so.6                  [.] __strchr_avx2
     0.00%  ml       ld-linux-x86-64.so.2       [.] strchr
     0.00%  ml       ld-linux-x86-64.so.2       [.] call_init
     0.00%  ml       ld-linux-x86-64.so.2       [.] __tunable_get_val
     0.00%  ml       ld-linux-x86-64.so.2       [.] open_verify.constprop.0
     0.00%  ml       libc.so.6                  [.] _IO_putc
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_new_object
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::_Impl::_Impl(unsigned long)
     0.00%  ml       ml                         [.] ML::ConvolutionalLayer::allocLayer()
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::underflow()
     0.00%  ml       libc.so.6                  [.] __new_exitfn
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::open(char const*, std::_Ios_Openmode, int)
     0.00%  ml       libc.so.6                  [.] _IO_file_write@@GLIBC_2.2.5
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::id::_M_id() const@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] bool std::has_facet<std::codecvt<char, char, __mbstate_t> >(std::locale const&)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ostream::flush()
     0.00%  ml       libc.so.6                  [.] __GI___libc_cleanup_pop_restore
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_streambuf<char, std::char_traits<char> >::xsgetn(char*, long)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::codecvt<char, char, __mbstate_t> const& std::use_facet<std::codecvt<char, char, __mbstate_t> >(std::locale const&)
     0.00%  ml       ld-linux-x86-64.so.2       [.] rtld_malloc
     0.00%  ml       libstdc++.so.6.0.29        [.] __dynamic_cast@plt
     0.00%  ml       ld-linux-x86-64.so.2       [.] search_cache
     0.00%  ml       ml                         [.] ML::FlattenLayer::FlattenLayer(ML::LayerParams const&, ML::LayerParams const&)
     0.00%  ml       libc.so.6                  [.] _IO_default_finish
     0.00%  ml       libc.so.6                  [.] pthread_once@GLIBC_2.2.5
     0.00%  ml       libc.so.6                  [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  ml       ld-linux-x86-64.so.2       [.] dfs_traversal.part.0
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
     0.00%  ml       ml                         [.] ML::ConvolutionalLayer::~ConvolutionalLayer()
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ios_base::_M_dispose_callbacks()
     0.00%  ml       ld-linux-x86-64.so.2       [.] dl_main
