# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu_atom/cycles/Pu'
# Event count (approx.): 4284000
#
# Overhead  Command  Shared Object         Symbol                            
# ........  .......  ....................  ..................................
#
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bf0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bf3
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bfa
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bfc
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c03
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c06
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c08
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c0b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c12
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c19
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c21
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c29
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c30
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c33
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c35
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c3c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c3f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c41
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c48
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c4b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c52
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c54
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c55
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c58
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c5f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c66
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c69
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c71
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c7e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c81
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c88
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c8f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c92
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9c9a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9cb4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9cc9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9cd0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9cde
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ce9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9cf0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9cfa
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d01
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d0b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d12
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d1c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d27
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d32
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d3d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d48
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d53
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d5e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d69
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d74
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d7f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d8a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9d95
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9da0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9dab
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9db6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9dc1
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9dcc
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9dd7
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9de2
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ded
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9df8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e03
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e0e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e19
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e24
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e2f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e36
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e40
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e4b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e56
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e61
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e6c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e77
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e82
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e8d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e94
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9e9f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9eaa
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9eb4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ec4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ecb
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ed2
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ee4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ee6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9eed
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ef7
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9efe
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f06
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f08
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f0f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f24
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f2b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f32
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f44
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f4e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f53
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f5a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f5d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f5f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f62
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f69
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f6c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f6e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f71
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f78
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f7b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f7d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f80
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f87
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f8a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f8c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f8f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f96
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f99
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f9b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f9e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fa5
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fa8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9faa
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fad
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fb4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fb7
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fb9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fbc
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fc4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fcb
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fce
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fd0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fd3
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fda
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fdd
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fdf
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fe2
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fe9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fec
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9fee
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ff1
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ff8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ffb
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ffd
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa000
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa007
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa00a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa00c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa00f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa016
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa019
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa01b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa01e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa025
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa028
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa02a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa02d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa034
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa037
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa039
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa03c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa044
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa04b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa04e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa050
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa053
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa05a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa05d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa05f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa062
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa069
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa06c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa06e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa071
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa078
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa07b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa07d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa080
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa087
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa08a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa08c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa08f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa096
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa099
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa09b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa09e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0a5
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0a8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0aa
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0ad
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0b4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0b7
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0b9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0bc
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0c3
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0c6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0c8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0cb
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0d2
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0d5
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0d7
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0da
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0e1
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0e4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0e6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0e9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0f0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0f3
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0f5
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa0f8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa104
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa10b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa10e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa110
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa113
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa11a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa11d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa11f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa122
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa129
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa12c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa12e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa131
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa138
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa13b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa13d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa140
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa147
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa14a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa14c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa14f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa156
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa159
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa15b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa15e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa165
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa168
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa16a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa16d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa174
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa177
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa179
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa17c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa183
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa186
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa188
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa18b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa192
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa195
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa197
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa19a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1a1
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1a4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1a6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1a9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1b0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1b3
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1b5
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1b8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1c4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1c6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1cd
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1d7
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1de
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1e6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1ed
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1f4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1fc
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa1fe
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa205
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa250
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa257
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa25e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa264
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa268
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa26c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa26f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa272
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa288
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa2d4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000bf8a4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000bf8ab
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e44
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e45
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e4c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e54
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000c1e80
     0.00%  ml       ml                         [.] strlen@plt


#
# (Tip: To show inline functions in call traces add --inline to perf report)
#
